,VGG-Face,Facenet,Facenet512,OpenFace,DeepFace,DeepID,ArcFace,Dlib,SFace,GhostFaceNet
Image 1,0.24621656425366556,0.6334630625782407,0.6212981089475088,0.6086695646677356,0.6330029400090845,0.8978001382760833,0.4432358956624836,0.8992435160986914,0.2907230621572089,0.46024698650259677
Image 2,0.6241564500522512,0.8108543887824562,0.8553221882252229,0.7863745364823562,0.8739073809833184,0.9602198065914033,0.625224962299604,0.9668252639967118,0.674453946649804,0.6568144596629616
Image 3,0.4669811178908474,0.7656983973047642,0.8283232345015316,0.3388693361955925,0.6760504334673648,0.9088363598880734,0.5500198701081277,0.9204212119830514,0.44922892073423853,0.5601043423944365
Image 4,0.26154522530752566,0.37395601929714617,0.4880566864059873,0.6224575248787229,0.7628826823040662,0.936806665264421,0.3066963354611549,0.8958052894514129,0.2210970570173914,0.26175961932931974
Image 5,0.2075858014290227,0.7065602120532901,0.5885453549893507,0.7968577328408413,0.7664101608482904,0.9454719903161872,0.49456733330591507,0.9539684570489566,0.4726189280193777,0.4288248395721812
Image 6,0.17110506318742433,0.5013808853972573,0.6456115619101374,0.6562366324496368,0.5164600826746177,0.912869482428414,0.4290837496520648,0.9386661609844336,0.15863232892498808,0.060139176472584724
Image 7,0.5914456938451667,0.802021857525749,0.7227559156760047,0.795099534867354,0.7796845237446506,0.9143258791491433,0.5771424514628489,0.9542504048604483,0.4615156148027696,0.41107047825534493
Image 8,0.4307142745768533,0.647119332684525,0.7524081737427079,0.5779953013057676,0.7764636355950161,0.9239957079071576,0.5567432896671196,0.9010481359228919,0.445995572680457,0.36567955342745206
Image 9,0.4092966247612305,0.6382488709247667,0.7509999774611225,0.6088433045864418,0.6860054411101116,0.932370968378789,0.41117461515088516,0.9369760628104103,0.3380997317969944,0.08319875908430092
Image 10,0.4539454124602066,0.7533712347757647,0.7779208938603261,0.5985720305670675,0.652491122504035,0.9217921987911604,0.5197749151108926,0.922651713668153,0.30778072287728664,0.22258653874227194
Image 11,0.1562090504009362,0.2805080811428514,0.35211892721946386,0.5676589936872528,0.6207273510888754,0.9230283862290987,0.3849614230051268,0.9141185362578664,0.14908145056457794,0.07046058652388414
